brand,model/kind,business_period,c_c,n_c,g_d,p_kw,cvf,co2_gkm,cv,value_2017_eu
ABARTH,124  1.4 Spider   170,2016-,1368.0,4.0,G,125,10.61,148.0,170,31200
ABARTH,124  1.4 Spider Aut.    170,2016-,1368.0,4.0,G,125,10.61,153.0,170,32800
ABARTH,500 1.4 T-Jet,2009-2016,1368.0,4.0,G,99,10.61,155.0,135,14000
ABARTH,500 1.4 T-Jet  Secuencial,2009-2016,1368.0,4.0,G,103,10.61,150.0,140,15300
ABARTH,500  1.4 T-Jet 595 Competizione  160,2009-2016,1368.0,4.0,G,118,10.61,155.0,160,17200
ABARTH,500  1.4 T-Jet 595 Competizione Secuencial 160,2009-2016,1368.0,4.0,G,118,10.61,150.0,160,19800
ABARTH,500  1.4 T-Jet 595 Turismo 160,2009-2016,1368.0,4.0,G,118,10.61,155.0,160,16500
ABARTH,500  1.4 T-Jet 595 Turismo (Secuencial) 160,2009-2016,1368.0,4.0,G,118,10.61,150.0,160,17700
ABARTH,500  1.4 T-Jet 595 Competizione  180,2009-2016,1368.0,4.0,G,132,10.61,139.0,180,19600
ABARTH,500  1.4 T-Jet 595 Competizione Secuencial  180,2009-2016,1368.0,4.0,G,132,10.61,134.0,180,20900
ABARTH,500 Vita,2009-2016,1368.0,4.0,G,99,10.61,155.0,135,14400
ABARTH,500 C,2010-2016,1368.0,4.0,G,99,10.61,155.0,135,15400
ABARTH,500 C 1.4 T-Jet,2010-2016,1368.0,4.0,G,99,10.61,155.0,135,15400
ABARTH,500 C 1.4 T-Jet Secuencial 140,2010-2016,1368.0,4.0,G,103,10.61,150.0,140,16600
ABARTH,500 C 1.4 T-Jet 595 Competizione 160,2010-2016,1368.0,4.0,G,118,10.61,155.0,160,18600
ABARTH,500 C 1.4 T-Jet 595 Competizione Secuencial  160,2010-2016,1368.0,4.0,G,118,10.61,150.0,160,21100
ABARTH,500 C 1.4 T-Jet 595 Turismo 160,2010-2016,1368.0,4.0,G,118,10.61,155.0,160,17900
ABARTH,500 C 1.4 T-Jet 595 Turismo (Secuencial) 160,2010-2016,1368.0,4.0,G,118,10.61,150.0,160,19100
ABARTH,500 C  1.4 T-Jet 595 Competizione  180,2010-2016,1368.0,4.0,G,132,10.61,139.0,180,20900
ABARTH,500 C  1.4 T-Jet 595 Competizione Secuencial  180,2010-2016,1368.0,4.0,G,132,10.61,134.0,180,22200
ABARTH,595 1.4 T-Jet,2016-,1368.0,4.0,G,103,10.61,139.0,140,14800
ABARTH,595 1.4 T-Jet Secuencial,2016-,1368.0,4.0,G,103,10.61,134.0,140,16100
ABARTH,595 1.4 T-Jet  145,2016-,1368.0,4.0,G,107,10.61,139.0,145,15300
ABARTH,595 1.4 T-Jet Turismo  160,2016-,1368.0,4.0,G,118,10.61,139.0,160,18000
ABARTH,595 1.4 T-Jet Turismo Secuencial  160,2016-,1368.0,4.0,G,118,10.61,134.0,160,19300
ABARTH,595 1.4 T-Jet Turismo  165,2016-,1368.0,4.0,G,121,10.61,139.0,165,18400
ABARTH,595 1.4 T-Jet Competizione  180,2016-,1368.0,4.0,G,132,10.61,139.0,180,20200
ABARTH,595 1.4 T-Jet Competizione Secuencial  180,2016-,1368.0,4.0,G,132,10.61,134.0,180,21600
ABARTH,595 C 1.4 T-Jet,2016-,1368.0,4.0,G,99,10.61,139.0,135,16100
ABARTH,595 C 1.4 T-Jet Secuencial  140,2016-,1368.0,4.0,G,103,10.61,134.0,140,17500
ABARTH,595 C 1.4 T-Jet  145,2016-,1368.0,4.0,G,107,10.61,139.0,145,16700
ABARTH,595 C 1.4 T-Jet Turismo  160,2016-,1368.0,4.0,G,118,10.61,139.0,160,19300
ABARTH,595 C 1.4 T-Jet Turismo Secuencial  160,2016-,1368.0,4.0,G,118,10.61,134.0,160,20700
ABARTH,595 C 1.4 T-Jet Turismo  165,2016-,1368.0,4.0,G,121,10.61,139.0,165,19900
ABARTH,595 C 1.4 T-Jet Competizione  180,2016-,1368.0,4.0,G,132,10.61,139.0,180,21600
ABARTH,595 C 1.4 T-Jet Competizione Secuencial  180,2016-,1368.0,4.0,G,132,10.61,134.0,180,22900
ABARTH,695 Tributo Ferrari Rojo Corsa,2011-2013,1368.0,4.0,G,132,10.61,151.0,180,35100
ABARTH,695 Tributo Ferrari Amarillo Modena,2011-2013,1368.0,4.0,G,132,10.61,151.0,180,36000
ABARTH,695 Tributo Ferrari Azul Abu Dhabi,2011-2013,1368.0,4.0,G,132,10.61,151.0,180,36900
ABARTH,695 Tributo Ferrari Gris Titanio,2011-2013,1368.0,4.0,G,132,10.61,151.0,180,36900
ABARTH,695 Tributo Biposto,2009-2016,1368.0,4.0,G,140,10.61,155.0,190,30900
ABARTH,695 Biposto,2016-,1368.0,4.0,G,140,10.61,145.0,190,31900
ABARTH,Grande Punto,2009-2010,1368.0,4.0,G,114,10.61,162.0,155,13600
ABARTH,Punto Evo 1.4 Multiair,2010-2012,1368.0,4.0,G,121,10.61,142.0,165,14000
ABARTH,Punto 1.4 Multiair,2012-2014,1368.0,4.0,G,121,10.61,142.0,165,14600
ABARTH,Punto 1.4 Multiair Supersport,2012-2014,1368.0,4.0,G,132,10.61,142.0,180,15500
ALFA ROMEO,4C 1.7 Tbi TCT 240,2013-,1742.0,4.0,G,177,12.26,157.0,241,42100
ALFA ROMEO,4C SPIDER 1.7 Tbi TCT 240,2015-,1742.0,4.0,G,177,12.26,161.0,240,62000
ALFA ROMEO,ALFA  33 1.3,1990-1994,1351.0,4.0,G,65-66,10.53,,88,6000
ALFA ROMEO,ALFA  33 1.5,1990-1994,1490.0,4.0,G,71-72,11.16,,96,6600
ALFA ROMEO,ALFA  33 1.7,1990-1994,1712.0,4.0,G,79-101,12.13,,107,7200
ALFA ROMEO,ALFA 145 1.4 Base,1994-1999,1351.0,4.0,G,66,10.53,,90,8100
ALFA ROMEO,ALFA 145 1.4 luxe,1994-1999,1351.0,4.0,G,66,10.53,,90,8500
ALFA ROMEO,ALFA 145 1.4 16v Junior,1994-1999,1370.0,4.0,G,76,10.62,,103,7800
ALFA ROMEO,ALFA 145 1.4 TS 16v  Base / lujo,1994-1999,1370.0,4.0,G,76,10.62,,103,8500
ALFA ROMEO,ALFA 145 1.6 Base,1994-1999,1596.0,4.0,G,76,11.63,,103,8900
ALFA ROMEO,ALFA 145 1.6   16v TS lujo / Montreal,1994-1999,1598.0,4.0,G,88,11.64,,120,9000
ALFA ROMEO,ALFA 145 1.7 16v,1994-1999,1712.0,4.0,G,95,12.13,,129,11300
ALFA ROMEO,ALFA 145 1.8 16v lujo,1994-1999,1747.0,4.0,G,103,12.28,,140,11700
ALFA ROMEO,ALFA 145 1.9 TDS lujo,1994-1999,1929.0,4.0,D,66,13.04,,90,11300
ALFA ROMEO,ALFA 145 2.0 TS 16v Quadrifoglio,1994-1999,1970.0,4.0,G,110,13.2,,150,13000
ALFA ROMEO,ALFA 146 1.4 Base,1995-1999,1351.0,4.0,G,66,10.53,,90,8400
ALFA ROMEO,ALFA 146 1.4 16v TS Base / Junior,1995-1999,1370.0,4.0,G,76,10.62,,103,8200
ALFA ROMEO,ALFA 146 16v 1.4 TS lujo,1995-1999,1370.0,4.0,G,76,10.62,,103,9700
ALFA ROMEO,ALFA 146 1.6 lujo,1995-1999,1596.0,4.0,G,76,11.63,,103,9300
ALFA ROMEO,ALFA 146 1.6 16v Junior,1995-1999,1598.0,4.0,G,88,11.64,,120,8500
ALFA ROMEO,ALFA 146 1.6 16v TS lujo,1995-1999,1598.0,4.0,G,88,11.64,,120,9600
ALFA ROMEO,ALFA 146 1.7 16v,1995-1999,1712.0,4.0,G,95,12.13,,129,11600
ALFA ROMEO,ALFA 146 1.8 16v TS lujo,1995-1999,1747.0,4.0,G,103,12.28,,140,12000
ALFA ROMEO,ALFA 146 2.0 TDS     Base / lujo,1995-1999,1929.0,4.0,D,66,13.04,,90,11500
ALFA ROMEO,ALFA 146 2.0 16v TS T.I.,1995-1999,1970.0,4.0,G,110,13.2,,150,13200
ALFA ROMEO,ALFA 145 1.4 TS 16v,1999-2001,1370.0,4.0,G,76,10.62,,103,9900
ALFA ROMEO,ALFA 145 1.6 TS 16v,1999-2001,1598.0,4.0,G,88,11.64,,120,10500
ALFA ROMEO,ALFA 145 1.9 JTD,1999-2001,1929.0,4.0,D,77,13.04,,105,12300
ALFA ROMEO,ALFA 145 2.0 Quadrifoglio,1999-2001,1970.0,4.0,G,114,13.2,,155,12800
ALFA ROMEO,ALFA 146 1.9 JTD,1999-2001,1910.0,4.0,D,77,12.96,,105,12500
ALFA ROMEO,ALFA 147 1.6      Impression / Progression (3p),2000-2004,1598.0,4.0,G,77,11.64,,105,12500
ALFA ROMEO,ALFA 147 1.6      Progression (5p) / Distinctive,2000-2004,1598.0,4.0,G,77,11.64,,105,13800
ALFA ROMEO,ALFA 147 1.6 TS Progression (2000 ),2000-2004,1598.0,4.0,G,88,11.64,,120,14200
ALFA ROMEO,ALFA 147 1.6 TS  Distinctive,2000-2004,1598.0,4.0,G,88,11.64,,120,15100
ALFA ROMEO,ALFA 147 2.0 Distinctive,2000-2004,1970.0,4.0,G,110,13.2,,150,15200
ALFA ROMEO,ALFA 147 2.0 Selespeed,2000-2004,1970.0,4.0,G,110,13.2,,150,16800
ALFA ROMEO,ALFA 147 3.2 V6 GTA 24v 6M,2000-2004,3179.0,6.0,G,184,20.69,,250,21700
ALFA ROMEO,ALFA 147 3.2 V6 GTA 24v Selespeed,2000-2004,3179.0,6.0,G,184,20.69,,250,23000
ALFA ROMEO,ALFA 147 1.9 JTD 100 Impression,2001-2004,1910.0,4.0,D,73,12.96,,99,13300
ALFA ROMEO,ALFA 147 1.9 JTD Impression 115,2001-2004,1910.0,4.0,D,85,12.96,,115,14200
ALFA ROMEO,ALFA 147 1.9 JTD Progression 115,2001-2004,1910.0,4.0,D,85,12.96,,115,14700
ALFA ROMEO,ALFA 147 1.9 JTD    Distinctive / Woman / Progression      140,2001-2004,1910.0,4.0,D,103-103,12.96,,140,15800
ALFA ROMEO,ALFA 147 1.9 JTD Distinctive 140,2001-2004,1910.0,4.0,D,103,12.96,,140,16800
ALFA ROMEO,ALFA 147 1.6 TS Impression,2004-2006,1598.0,4.0,G,77,11.64,,105,11700
